jump,run_fire,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
1,0,20786511700,8,8377,5828,7620,33305,11820,9908,3163,8272,0
1,0,20896122700,-1,8377,5828,7620,33305,11820,9908,3163,8272,0
1,0,21006446400,-21,8377,5828,7620,33305,11820,9908,3163,8272,0
1,0,21115530700,52,8377,5828,7620,33305,11820,9908,3163,8272,0
1,0,21228094800,32,8377,5828,7620,33305,11820,9908,3163,8272,0
1,0,21338047700,35,4681,27822,58367,14884,26418,8398,3181,7516,0
1,0,21448297600,25,4681,27822,58367,14884,26418,8398,3181,7516,0
0,0,21557131900,-3,4681,27822,58367,14884,26418,8398,3181,7516,0
0,0,21667091500,34,4681,27822,58367,14884,26418,8398,3181,7516,0
0,0,21775582500,45,4681,27822,58367,14884,26418,8398,3181,7516,0
0,0,21884868500,87,4681,27822,58367,14884,26418,8398,3181,7516,0
0,0,21995966400,37,4681,27822,58367,14884,26418,8398,3181,7516,0
0,0,22103801000,-35,4681,27822,58367,14884,26418,8398,3181,7516,0
0,0,22215052900,-4,4681,27822,58367,14884,26418,8398,3181,7516,0
0,0,22325481800,34,8354,19442,14058,19454,7770,11601,4478,7706,0
0,0,22433791100,75,8354,19442,14058,19454,7770,11601,4478,7706,0
0,0,22542568800,284,8354,19442,14058,19454,7770,11601,4478,7706,0
0,0,22651843300,-60,8354,19442,14058,19454,7770,11601,4478,7706,0
0,0,22762688800,-225,8354,19442,14058,19454,7770,11601,4478,7706,0
0,0,22872360500,27,8354,19442,14058,19454,7770,11601,4478,7706,0
0,0,22980902400,140,8354,19442,14058,19454,7770,11601,4478,7706,0
0,0,23090932300,97,8354,19442,14058,19454,7770,11601,4478,7706,0
0,0,23200965200,71,8354,19442,14058,19454,7770,11601,4478,7706,0
0,0,23310377800,72,165306,56060,10100,8306,1608,1795,1637,1098,0
0,0,23419547500,64,165306,56060,10100,8306,1608,1795,1637,1098,0
1,0,23529215300,1,165306,56060,10100,8306,1608,1795,1637,1098,0
1,0,23638271700,83,165306,56060,10100,8306,1608,1795,1637,1098,0
1,0,23747901000,64,165306,56060,10100,8306,1608,1795,1637,1098,0
1,0,23858166400,32,165306,56060,10100,8306,1608,1795,1637,1098,0
1,0,23966566600,75,165306,56060,10100,8306,1608,1795,1637,1098,0
1,0,24076449700,74,165306,56060,10100,8306,1608,1795,1637,1098,0
0,0,24185954100,7,165306,56060,10100,8306,1608,1795,1637,1098,0
0,0,24297159200,57,397229,20305,36495,42474,2093,7909,7234,5544,0
0,1,24408947600,55,397229,20305,36495,42474,2093,7909,7234,5544,0
0,1,24517357100,92,397229,20305,36495,42474,2093,7909,7234,5544,0
0,1,24628042900,37,397229,20305,36495,42474,2093,7909,7234,5544,0
0,1,24738260500,82,397229,20305,36495,42474,2093,7909,7234,5544,0
0,1,24848611100,71,397229,20305,36495,42474,2093,7909,7234,5544,0
0,1,24959088100,101,397229,20305,36495,42474,2093,7909,7234,5544,0
0,1,25068019400,49,397229,20305,36495,42474,2093,7909,7234,5544,0
0,1,25179672800,-8,397229,20305,36495,42474,2093,7909,7234,5544,0
0,0,25287825300,-6,11784,26464,78231,43874,12923,7395,4681,6861,0
0,0,25398563900,73,11784,26464,78231,43874,12923,7395,4681,6861,0
0,0,25509009600,70,11784,26464,78231,43874,12923,7395,4681,6861,0
0,0,25617084600,32,11784,26464,78231,43874,12923,7395,4681,6861,0
0,0,25726886700,32,11784,26464,78231,43874,12923,7395,4681,6861,0
0,0,25835965800,92,11784,26464,78231,43874,12923,7395,4681,6861,0
0,0,25945167200,49,11784,26464,78231,43874,12923,7395,4681,6861,0
0,0,26055233700,18,11784,26464,78231,43874,12923,7395,4681,6861,0
0,0,26164201700,50,11784,26464,78231,43874,12923,7395,4681,6861,0
0,0,26274632900,83,16480,10370,24272,33709,8838,10440,6315,8399,0
0,0,26384157100,17,16480,10370,24272,33709,8838,10440,6315,8399,0
0,0,26493458300,22,16480,10370,24272,33709,8838,10440,6315,8399,0
0,0,26602288200,23,16480,10370,24272,33709,8838,10440,6315,8399,0
0,0,26711233200,35,16480,10370,24272,33709,8838,10440,6315,8399,0
